Sanidad,Factor,DT
HLB-,0,11.64
HLB-,0,10.1
HLB-,0,9.95
HLB-,0,11
HLB-,0,11.87
HLB-,0,10.13
HLB-,0,13.51
HLB-,0,11.87
HLB-,0,11.44
HLB-,1,11.96
HLB-,1,12.49
HLB-,1,11.31
HLB-,1,7.84
HLB-,1,7.49
HLB-,1,5.43
HLB-,1,8.55
HLB-,1,8.59
HLB-,1,10.06
HLB-,2,9.84
HLB-,2,8.51
HLB-,2,7.77
HLB-,2,5.32
HLB-,2,7.38
HLB-,2,8.06
HLB-,2,7.22
HLB-,2,8.14
HLB-,2,8.67
HLB-,2,7.97
