Sanidad,Factor,DT
HLB+,0,13.99
HLB+,0,14.38
HLB+,0,13.93
HLB+,0,14.41
HLB+,0,10.48
HLB+,0,11.56
HLB+,0,11.08
HLB+,0,10.48
HLB+,0,9.24
HLB+,0,10.17
HLB+,1,12.61
HLB+,1,12.71
HLB+,1,11.41
HLB+,1,11.56
HLB+,1,12.03
HLB+,1,11.76
HLB+,1,11.44
HLB+,1,11.05
HLB+,1,11.04
HLB+,1,10.19
HLB+,2,16.38
HLB+,2,14.94
HLB+,2,13.2
HLB+,2,9.9
HLB+,2,9.91
HLB+,2,9.46
HLB+,2,6.79
HLB+,2,12.38
HLB+,2,11.47
