Sanidad,sub,w.length,prom
HLB+,1,540.18,9.737142857
HLB+,1,540.65,9.77
HLB+,1,541.12,9.798571429
HLB+,1,541.59,9.828571429
HLB+,1,542.06,9.857142857
HLB+,1,542.531,9.884285714
HLB+,1,543.001,9.91
HLB+,1,543.471,9.934285714
HLB+,1,543.941,9.96
HLB+,1,544.412,9.982857143
HLB+,1,544.882,10.00428571
HLB+,1,545.353,10.02142857
HLB+,1,545.823,10.04142857
HLB+,1,546.294,10.05714286
HLB+,1,546.764,10.07285714
HLB+,1,547.235,10.08714286
HLB+,1,547.705,10.09714286
HLB+,1,548.176,10.10857143
HLB+,1,548.647,10.11714286
HLB+,1,549.118,10.12428571
HLB+,1,549.588,10.12714286
HLB+,1,550.059,10.13
HLB+,1,550.53,10.13
HLB+,1,551.001,10.12428571
HLB+,1,551.472,10.12142857
HLB+,1,551.943,10.11428571
HLB+,1,552.414,10.10142857
HLB+,1,552.885,10.09142857
HLB+,1,553.356,10.07571429
HLB+,1,553.827,10.06
HLB+,1,554.298,10.04285714
HLB+,1,554.769,10.02142857
HLB+,1,555.24,9.997142857
HLB+,1,555.711,9.972857143
HLB+,1,556.183,9.945714286
HLB+,1,556.654,9.915714286
HLB+,1,557.125,9.885714286
HLB+,1,557.597,9.851428571
HLB+,1,558.068,9.815714286
HLB+,1,558.54,9.777142857
HLB+,1,559.011,9.737142857
HLB+,1,559.483,9.695714286
HLB+,1,559.954,9.652857143
HLB+,1,560.426,9.608571429
HLB+,1,560.897,9.557142857
HLB+,2,540.18,11.12714286
HLB+,2,540.65,11.16285714
HLB+,2,541.12,11.20285714
HLB+,2,541.59,11.24
HLB+,2,542.06,11.28
HLB+,2,542.531,11.31
HLB+,2,543.001,11.34142857
HLB+,2,543.471,11.37
HLB+,2,543.941,11.39714286
HLB+,2,544.412,11.42714286
HLB+,2,544.882,11.45428571
HLB+,2,545.353,11.47857143
HLB+,2,545.823,11.50142857
HLB+,2,546.294,11.52285714
HLB+,2,546.764,11.54285714
HLB+,2,547.235,11.56
HLB+,2,547.705,11.58
HLB+,2,548.176,11.59285714
HLB+,2,548.647,11.60285714
HLB+,2,549.118,11.60857143
HLB+,2,549.588,11.61571429
HLB+,2,550.059,11.61857143
HLB+,2,550.53,11.62
HLB+,2,551.001,11.62142857
HLB+,2,551.472,11.61714286
HLB+,2,551.943,11.60714286
HLB+,2,552.414,11.59714286
HLB+,2,552.885,11.58428571
HLB+,2,553.356,11.56714286
HLB+,2,553.827,11.55
HLB+,2,554.298,11.53142857
HLB+,2,554.769,11.50571429
HLB+,2,555.24,11.48142857
HLB+,2,555.711,11.45
HLB+,2,556.183,11.42142857
HLB+,2,556.654,11.38857143
HLB+,2,557.125,11.34857143
HLB+,2,557.597,11.31285714
HLB+,2,558.068,11.27
HLB+,2,558.54,11.22714286
HLB+,2,559.011,11.18142857
HLB+,2,559.483,11.13285714
HLB+,2,559.954,11.08428571
HLB+,2,560.426,11.03142857
HLB+,2,560.897,10.97142857
HLB+,3,540.18,9.608511905
HLB+,3,540.65,9.637202381
HLB+,3,541.12,9.667142857
HLB+,3,541.59,9.69827381
HLB+,3,542.06,9.728214286
HLB+,3,542.531,9.753511905
HLB+,3,543.001,9.777559524
HLB+,3,543.471,9.799345238
HLB+,3,543.941,9.822380952
HLB+,3,544.412,9.845
HLB+,3,544.882,9.865357143
HLB+,3,545.353,9.883333333
HLB+,3,545.823,9.900952381
HLB+,3,546.294,9.917083333
HLB+,3,546.764,9.931488095
HLB+,3,547.235,9.945714286
HLB+,3,547.705,9.957380952
HLB+,3,548.176,9.966309524
HLB+,3,548.647,9.97375
HLB+,3,549.118,9.977202381
HLB+,3,549.588,9.980119048
HLB+,3,550.059,9.980119048
HLB+,3,550.53,9.980119048
HLB+,3,551.001,9.977321429
HLB+,3,551.472,9.97202381
HLB+,3,551.943,9.962559524
HLB+,3,552.414,9.949940476
HLB+,3,552.885,9.936904762
HLB+,3,553.356,9.920952381
HLB+,3,553.827,9.904583333
HLB+,3,554.298,9.885595238
HLB+,3,554.769,9.862797619
HLB+,3,555.24,9.83952381
HLB+,3,555.711,9.810952381
HLB+,3,556.183,9.784464286
HLB+,3,556.654,9.754761905
HLB+,3,557.125,9.721011905
HLB+,3,557.597,9.687261905
HLB+,3,558.068,9.650654762
HLB+,3,558.54,9.611845238
HLB+,3,559.011,9.57202381
HLB+,3,559.483,9.52952381
HLB+,3,559.954,9.486964286
HLB+,3,560.426,9.44125
HLB+,3,560.897,9.38827381
HLB+,4,540.18,10.34714286
HLB+,4,540.65,10.37142857
HLB+,4,541.12,10.4
HLB+,4,541.59,10.42428571
HLB+,4,542.06,10.44857143
HLB+,4,542.531,10.47142857
HLB+,4,543.001,10.49142857
HLB+,4,543.471,10.51142857
HLB+,4,543.941,10.53285714
HLB+,4,544.412,10.55142857
HLB+,4,544.882,10.56714286
HLB+,4,545.353,10.58428571
HLB+,4,545.823,10.6
HLB+,4,546.294,10.61428571
HLB+,4,546.764,10.62571429
HLB+,4,547.235,10.63714286
HLB+,4,547.705,10.64571429
HLB+,4,548.176,10.65428571
HLB+,4,548.647,10.65857143
HLB+,4,549.118,10.66142857
HLB+,4,549.588,10.66428571
HLB+,4,550.059,10.66428571
HLB+,4,550.53,10.66142857
HLB+,4,551.001,10.65857143
HLB+,4,551.472,10.65
HLB+,4,551.943,10.64142857
HLB+,4,552.414,10.63142857
HLB+,4,552.885,10.62
HLB+,4,553.356,10.60571429
HLB+,4,553.827,10.59142857
HLB+,4,554.298,10.57142857
HLB+,4,554.769,10.55285714
HLB+,4,555.24,10.53285714
HLB+,4,555.711,10.50571429
HLB+,4,556.183,10.48142857
HLB+,4,556.654,10.45285714
HLB+,4,557.125,10.42285714
HLB+,4,557.597,10.39142857
HLB+,4,558.068,10.36142857
HLB+,4,558.54,10.32428571
HLB+,4,559.011,10.28857143
HLB+,4,559.483,10.25
HLB+,4,559.954,10.20857143
HLB+,4,560.426,10.16714286
HLB+,4,560.897,10.12
HLB+,5,540.18,9.478571429
HLB+,5,540.65,9.51
HLB+,5,541.12,9.541428571
HLB+,5,541.59,9.574285714
HLB+,5,542.06,9.604285714
HLB+,5,542.531,9.631428571
HLB+,5,543.001,9.658571429
HLB+,5,543.471,9.68
HLB+,5,543.941,9.705714286
HLB+,5,544.412,9.73
HLB+,5,544.882,9.752857143
HLB+,5,545.353,9.774285714
HLB+,5,545.823,9.791428571
HLB+,5,546.294,9.811428571
HLB+,5,546.764,9.827142857
HLB+,5,547.235,9.842857143
HLB+,5,547.705,9.857142857
HLB+,5,548.176,9.868571429
HLB+,5,548.647,9.875714286
HLB+,5,549.118,9.882857143
HLB+,5,549.588,9.888571429
HLB+,5,550.059,9.89
HLB+,5,550.53,9.891428571
HLB+,5,551.001,9.891428571
HLB+,5,551.472,9.887142857
HLB+,5,551.943,9.881428571
HLB+,5,552.414,9.872857143
