Sanidad,w.length,promedio
Enfermas,531.255,8.69088785
Enfermas,531.724,8.765373832
Enfermas,532.193,8.837570093
Enfermas,532.663,8.906588785
Enfermas,533.132,8.974579439
Enfermas,533.602,9.038831776
Enfermas,534.072,9.098457944
Enfermas,534.541,9.155420561
Enfermas,535.011,9.210981308
Enfermas,535.481,9.264158879
Enfermas,535.95,9.313504673
Enfermas,536.42,9.363551402
Enfermas,536.89,9.409859813
Enfermas,537.36,9.452570093
Enfermas,537.83,9.494205607
Enfermas,538.3,9.533411215
Enfermas,538.77,9.570327103
Enfermas,539.24,9.605607477
Enfermas,539.71,9.638878505
Enfermas,540.18,9.671775701
Enfermas,540.65,9.699485981
Enfermas,541.12,9.728317757
Enfermas,541.59,9.758971963
Enfermas,542.06,9.78635514
Enfermas,542.531,9.811401869
Enfermas,543.001,9.834392523
Enfermas,543.471,9.853831776
Enfermas,543.941,9.876542056
Enfermas,544.412,9.897616822
Enfermas,544.882,9.917242991
Enfermas,545.353,9.935327103
Enfermas,545.823,9.952196262
Enfermas,546.294,9.967429907
Enfermas,546.764,9.981214953
Enfermas,547.235,9.994626168
Enfermas,547.705,10.00696262
Enfermas,548.176,10.01453271
Enfermas,548.647,10.02154206
Enfermas,549.118,10.02462617
Enfermas,549.588,10.02747664
Enfermas,550.059,10.02654206
Enfermas,550.53,10.02672897
Enfermas,551.001,10.02514019
Enfermas,551.472,10.01878505
Enfermas,551.943,10.01042056
Enfermas,552.414,9.999299065
Enfermas,552.885,9.986448598
Enfermas,553.356,9.971261682
Enfermas,553.827,9.955420561
Enfermas,554.298,9.936121495
Enfermas,554.769,9.915560748
Enfermas,555.24,9.893971963
Enfermas,555.711,9.86588785
Enfermas,556.183,9.838925234
Enfermas,556.654,9.810841121
Enfermas,557.125,9.778785047
Enfermas,557.597,9.746401869
Enfermas,558.068,9.712242991
Enfermas,558.54,9.674439252
Enfermas,559.011,9.636308411
Enfermas,559.483,9.596121495
Enfermas,559.954,9.555280374
Enfermas,560.426,9.510981308
Enfermas,560.897,9.461028037
Enfermas,561.369,9.410934579
Enfermas,561.841,9.36088785
Enfermas,562.312,9.308457944
Enfermas,562.784,9.256261682
Enfermas,563.256,9.197897196
Enfermas,563.728,9.139018692
Enfermas,564.2,9.076962617
Enfermas,564.672,9.013925234
Enfermas,565.143,8.947242991
Enfermas,565.615,8.880607477
Enfermas,566.087,8.811261682
Enfermas,566.56,8.739859813
Enfermas,567.032,8.666448598
Enfermas,567.504,8.59364486
Enfermas,567.976,8.517523364
Enfermas,568.448,8.441682243
Enfermas,568.92,8.365093458
Enfermas,569.393,8.287149533
Enfermas,569.865,8.208925234
Enfermas,570.337,8.128691589
Enfermas,570.81,8.050327103
Enfermas,571.282,7.972616822
Enfermas,571.754,7.895140187
Enfermas,572.227,7.819485981
Enfermas,572.699,7.745046729
Enfermas,573.172,7.669439252
Enfermas,573.645,7.593925234
Enfermas,574.117,7.52135514
Enfermas,574.59,7.449719626
Enfermas,575.063,7.383878505
Enfermas,575.535,7.315607477
Enfermas,576.008,7.249439252
Enfermas,576.481,7.185654206
Enfermas,576.954,7.12411215
Enfermas,577.427,7.064065421
Enfermas,577.9,7.00728972
Enfermas,578.373,6.952009346
Enfermas,578.845,6.898037383
Enfermas,579.319,6.846168224
Enfermas,579.792,6.796214953
Enfermas,580.265,6.748925234
Enfermas,580.738,6.702803738
