Sanidad,sub,w.length,prom
HLB+,5,780.425,62.91142857
HLB+,5,780.915,62.92285714
HLB+,5,781.405,62.93142857
HLB+,5,781.894,62.94142857
HLB+,5,782.384,62.95285714
HLB+,5,782.874,62.96285714
HLB+,5,783.364,62.97571429
HLB+,5,783.854,62.98428571
HLB+,5,784.344,62.99428571
HLB+,5,784.834,63.00571429
HLB+,5,785.324,63.01571429
HLB+,5,785.814,63.02285714
HLB+,5,786.304,63.03285714
HLB+,5,786.794,63.04428571
HLB+,5,787.285,63.05428571
HLB+,5,787.775,63.06142857
HLB+,5,788.265,63.07142857
HLB+,5,788.756,63.08285714
HLB+,5,789.246,63.09285714
HLB+,5,789.736,63.1
HLB+,5,790.227,63.10857143
HLB+,5,790.717,63.11857143
HLB+,5,791.208,63.13
HLB+,5,791.699,63.13571429
HLB+,5,792.189,63.14285714
HLB+,5,792.68,63.15285714
HLB+,5,793.171,63.16
HLB+,5,793.662,63.16714286
HLB+,5,794.152,63.17428571
HLB+,5,794.643,63.18285714
HLB+,5,795.134,63.19
HLB+,5,795.625,63.19857143
HLB+,5,796.116,63.20571429
HLB+,5,796.607,63.21285714
HLB+,5,797.098,63.22
HLB+,5,797.59,63.22571429
HLB+,5,798.081,63.23285714
HLB+,5,798.572,63.24
HLB+,5,799.063,63.24857143
HLB+,5,799.555,63.25285714
HLB+,5,800.046,63.25857143
HLB+,5,800.537,63.26428571
HLB+,6,780.425,67.60375
HLB+,6,780.915,67.62
HLB+,6,781.405,67.63625
HLB+,6,781.894,67.6525
HLB+,6,782.384,67.67
HLB+,6,782.874,67.68625
HLB+,6,783.364,67.7025
HLB+,6,783.854,67.71875
HLB+,6,784.344,67.735
HLB+,6,784.834,67.75375
HLB+,6,785.324,67.7675
HLB+,6,785.814,67.785
HLB+,6,786.304,67.80125
HLB+,6,786.794,67.81375
HLB+,6,787.285,67.83625
HLB+,6,787.775,67.8525
HLB+,6,788.265,67.865
HLB+,6,788.756,67.88
HLB+,6,789.246,67.89375
HLB+,6,789.736,67.91
HLB+,6,790.227,67.92625
HLB+,6,790.717,67.94375
HLB+,6,791.208,67.9575
HLB+,6,791.699,67.9725
HLB+,6,792.189,67.985
HLB+,6,792.68,67.9975
HLB+,6,793.171,68.01
HLB+,6,793.662,68.0225
HLB+,6,794.152,68.0325
HLB+,6,794.643,68.045
HLB+,6,795.134,68.055
HLB+,6,795.625,68.06875
HLB+,6,796.116,68.07625
HLB+,6,796.607,68.0875
HLB+,6,797.098,68.095
HLB+,6,797.59,68.1075
HLB+,6,798.081,68.12
HLB+,6,798.572,68.13
HLB+,6,799.063,68.14
HLB+,6,799.555,68.15375
HLB+,6,800.046,68.1625
HLB+,6,800.537,68.1725
HLB+,7,780.425,60.06375
HLB+,7,780.915,60.07
HLB+,7,781.405,60.07375
HLB+,7,781.894,60.08
HLB+,7,782.384,60.085
HLB+,7,782.874,60.08625
HLB+,7,783.364,60.0925
HLB+,7,783.854,60.09875
HLB+,7,784.344,60.1025
HLB+,7,784.834,60.10625
HLB+,7,785.324,60.11
HLB+,7,785.814,60.11375
HLB+,7,786.304,60.1175
HLB+,7,786.794,60.12
HLB+,7,787.285,60.12625
HLB+,7,787.775,60.12875
HLB+,7,788.265,60.1325
HLB+,7,788.756,60.1325
HLB+,7,789.246,60.13625
HLB+,7,789.736,60.14
HLB+,7,790.227,60.1425
HLB+,7,790.717,60.14625
HLB+,7,791.208,60.15125
HLB+,7,791.699,60.15
HLB+,7,792.189,60.15375
HLB+,7,792.68,60.15625
HLB+,7,793.171,60.15875
HLB+,7,793.662,60.16125
HLB+,7,794.152,60.165
HLB+,7,794.643,60.165
HLB+,7,795.134,60.16875
HLB+,7,795.625,60.17125
HLB+,7,796.116,60.17375
HLB+,7,796.607,60.17375
HLB+,7,797.098,60.17625
HLB+,7,797.59,60.17875
HLB+,7,798.081,60.1825
HLB+,7,798.572,60.18375
HLB+,7,799.063,60.1875
HLB+,7,799.555,60.1875
HLB+,7,800.046,60.18875
HLB+,7,800.537,60.19
HLB+,8,780.425,61.94142857
HLB+,8,780.915,61.95285714
HLB+,8,781.405,61.96142857
HLB+,8,781.894,61.97285714
HLB+,8,782.384,61.98285714
HLB+,8,782.874,61.99428571
HLB+,8,783.364,62.00142857
HLB+,8,783.854,62.01
HLB+,8,784.344,62.02285714
HLB+,8,784.834,62.03142857
HLB+,8,785.324,62.04142857
HLB+,8,785.814,62.05
HLB+,8,786.304,62.05857143
HLB+,8,786.794,62.07142857
HLB+,8,787.285,62.07857143
HLB+,8,787.775,62.08714286
HLB+,8,788.265,62.09285714
HLB+,8,788.756,62.10285714
HLB+,8,789.246,62.11142857
HLB+,8,789.736,62.11857143
HLB+,8,790.227,62.12857143
HLB+,8,790.717,62.13857143
HLB+,8,791.208,62.14571429
HLB+,8,791.699,62.15428571
HLB+,8,792.189,62.16142857
HLB+,8,792.68,62.16714286
HLB+,8,793.171,62.17285714
HLB+,8,793.662,62.18142857
HLB+,8,794.152,62.18857143
HLB+,8,794.643,62.19428571
HLB+,8,795.134,62.20428571
HLB+,8,795.625,62.21
HLB+,8,796.116,62.21428571
HLB+,8,796.607,62.22142857
HLB+,8,797.098,62.22571429
HLB+,8,797.59,62.23142857
HLB+,8,798.081,62.23714286
HLB+,8,798.572,62.24285714
HLB+,8,799.063,62.24857143
HLB+,8,799.555,62.25285714
HLB+,8,800.046,62.25857143
HLB+,8,800.537,62.25857143
HLB+,9,780.425,65.71625
HLB+,9,780.915,65.7275
HLB+,9,781.405,65.7425
HLB+,9,781.894,65.76125
HLB+,9,782.384,65.77375
HLB+,9,782.874,65.79
HLB+,9,783.364,65.80375
HLB+,9,783.854,65.81875
HLB+,9,784.344,65.83625
HLB+,9,784.834,65.84875
HLB+,9,785.324,65.86625
HLB+,9,785.814,65.88
HLB+,9,786.304,65.89375
HLB+,9,786.794,65.91375
