Sanidad,Factor,Alt
HLB+,0,103
HLB+,0,120
HLB+,0,116
HLB+,0,135.5
HLB+,0,132
HLB+,0,84
HLB+,0,111.5
HLB+,0,123
HLB+,0,92.5
HLB+,0,107.5
HLB+,0,83
HLB+,0,105.5
HLB+,1,138
HLB+,1,153
HLB+,1,107
HLB+,1,135
HLB+,1,124
HLB+,1,100
HLB+,1,86
HLB+,1,128
HLB+,1,98
HLB+,1,97
HLB+,1,83
HLB+,1,92
HLB+,2,115
HLB+,2,134
HLB+,2,68.5
HLB+,2,105.5
HLB+,2,119
HLB+,2,120
HLB+,2,65
HLB+,2,106
HLB+,2,96.5
HLB+,2,110.6
HLB+,2,121
