Sanidad,Factor,Alt
HLB-,0,143
HLB-,0,144
HLB-,0,133
HLB-,0,129.5
HLB-,0,159
HLB-,0,151
HLB-,0,130
HLB-,0,118.5
HLB-,0,125.5
HLB-,0,132.5
HLB-,1,151
HLB-,1,159
HLB-,1,136
HLB-,1,119.5
HLB-,1,112
HLB-,1,134
HLB-,1,118.5
HLB-,1,119
HLB-,1,111
HLB-,2,137.5
HLB-,2,159
HLB-,2,140.5
HLB-,2,144
HLB-,2,136
HLB-,2,140
HLB-,2,114.5
HLB-,2,102
HLB-,2,107
