Sanidad,Factor,Alt
HLB-,0,143
HLB-,0,144
HLB-,0,133
HLB-,0,151
HLB-,0,159
HLB-,0,136
HLB-,0,137.5
HLB-,0,159
HLB-,0,140.5
HLB-,1,129.5
HLB-,1,159
HLB-,1,151
HLB-,1,119.5
HLB-,1,112
HLB-,1,134
HLB-,1,144
HLB-,1,136
HLB-,1,140
HLB-,2,130
HLB-,2,118.5
HLB-,2,125.5
HLB-,2,132.5
HLB-,2,118.5
HLB-,2,119
HLB-,2,111
HLB-,2,114.5
HLB-,2,102
HLB-,2,107
