Sanidad,Factor,Alt
HLB+,0,103
HLB+,0,120
HLB+,0,116
HLB+,0,135.5
HLB+,0,138
HLB+,0,153
HLB+,0,107
HLB+,0,135
HLB+,0,115
HLB+,0,134
HLB+,0,68.5
HLB+,0,105.5
HLB+,1,132
HLB+,1,84
HLB+,1,111.5
HLB+,1,123
HLB+,1,124
HLB+,1,100
HLB+,1,86
HLB+,1,128
HLB+,1,119
HLB+,1,120
HLB+,1,65
HLB+,1,106
HLB+,2,92.5
HLB+,2,107.5
HLB+,2,83
HLB+,2,105.5
HLB+,2,98
HLB+,2,97
HLB+,2,83
HLB+,2,92
HLB+,2,96.5
HLB+,2,110.6
HLB+,2,121
