Ht,CV,TD,St,Chl,Fvfm,BA,tCA,SA,Glc,Suc,Refl550,Refl790
130,2.01,9.84,0.05,1.15,0.802,49056.89,789.57,946.83,2.613,1.862288103,11.285,68.1
118.5,2.22,8.51,0.05,1.14,0.789,92013.47,982.15,785.1,3.061,1.466056592,11.07,64.87
125.5,2.02,7.77,0.12,1.42,0.786,91058.33,829.93,685.32,1.731,0.455666238,8.505,61.67
132.5,3.13,11.22,0.08,1.42,0.797,63446.72,797.01,664.91,1.199,0.768689132,10.056,64.76
93,1.73,5.32,0.05,1.45,0.784,34332.67,895.79,499.15,1.966,3.744387781,9.565,66.6
118.5,2.68,11.58,0.02,1.08,0.795,31763.88,697.35,453.7,1.481,0.455666238,9.473,63.59
119,2.27,7.38,0.15,1.38,0.8,41279.34,938.82,348.34,0.876,0.594347267,9.973,65.21
111,1.97,8.06,0.09,1.55,0.79,29346.14,722.92,333.44,0.996,0.733028296,9.523,64.23
114.5,2.32,7.22,0.09,1.448,0.787,43097.9,904.1,638.09,1.961,5.943472669,9.065,63.33
102,2.13,8.14,0.07,1.443,0.802,45195.69,1095.59,330.93,4.015,3.209475241,8.275,62.2
155,2.56,8.67,0.09,1.222,0.801,52466.47,977.7,449.19,1.794,0.752839871,9.364,64.44
107,2.3,7.97,0.16,1.708,0.792,43644.97,1036.31,550.1,0.308,0.871709325,9.777,62.64
